explicit_sentence,pred,explicit_sentence_with_no_stopwords,scores
sleepiness can even result in automobile accidents,1,sleepiness even result automobile accidents,"[0.08688711374998093, 0.21834135055541992, 0.34614628553390503, 0.6453677415847778, 1.4795259237289429]"
a famed and inflammatory orator he led a number of union strikes and marches that resulted in violence,1,famed inflammatory orator led number union strikes marches resulted violence,"[0.00582808256149292, 0.015313384123146534, 0.017300767824053764, 0.03522967919707298, 0.06675232946872711, 0.08287347853183746, 0.22290250658988953, 0.3934931755065918, 0.8540747761726379, 1.4785133600234985]"
urushiol induced contact dermatitis is the allergic reaction caused by poison ivy,1,urushiol induced contact dermatitis allergic reaction caused poison ivy,"[0.009879407472908497, 0.01799694262444973, 0.025027044117450714, 0.05573980510234833, 0.17054912447929382, 0.19838377833366394, 0.30273184180259705, 0.518775463104248, 1.2046602964401245]"
large quantities of vitamin e or consuming this vitamin with blood thinners may lead to hemorrhage and blood coagulation problems,1,large quantities vitamin e consuming vitamin blood thinners may lead hemorrhage blood coagulation problems,"[0.0014878357760608196, 0.0015040873549878597, 0.009707754477858543, 0.005313424859195948, 0.005152464844286442, 0.009707754477858543, 0.29034313559532166, 0.03129032254219055, 0.05994081497192383, 0.09019801765680313, 0.16408446431159973, 0.29034313559532166, 0.5413927435874939, 1.5721044540405273]"
incomplete digestion of insulin fragments may lead toward hyperinsulinemia and zinc deficiency causing insulin resistance and diabetes,1,incomplete digestion insulin fragments may lead toward hyperinsulinemia zinc deficiency causing insulin resistance diabetes,"[0.0009059935109689832, 0.0015977714210748672, 0.257216215133667, 0.0057993982918560505, 0.008590647019445896, 0.012337248772382736, 0.012479357421398163, 0.02394656464457512, 0.03820066899061203, 0.07100421190261841, 0.12140129506587982, 0.257216215133667, 0.7734375596046448, 1.4901283979415894]"
humidity and pollution can lead to acne also by blocking pores,1,humidity pollution lead acne also blocking pores,"[0.018800992518663406, 0.044711071997880936, 0.12002263218164444, 0.15814271569252014, 0.2422933280467987, 0.5216480493545532, 1.3570635318756104]"
at high levels lead can cause seizures coma and death,1,high levels lead cause seizures coma death,"[0.023157937452197075, 0.0650382786989212, 0.10668129473924637, 0.18223650753498077, 0.35034286975860596, 0.7458876371383667, 1.297590732574463]"
traffic congestion after events can cause delays for those who choose to drive to the arena,1,traffic congestion events cause delays choose drive arena,"[0.011833583004772663, 0.022123342379927635, 0.029811996966600418, 0.057399310171604156, 0.20718789100646973, 0.3687727451324463, 0.6040292978286743, 0.8439258337020874]"
allergic reactions are the predominant cause of asthma and result from the activation of ige antibody receptors on mast cells,1,allergic reactions predominant cause asthma result activation ige antibody receptors mast cells,"[0.0012344716815277934, 0.0022971886210143566, 0.006342494860291481, 0.00576272327452898, 0.015828171744942665, 0.0334295816719532, 0.04264356940984726, 0.0879681259393692, 0.1949433833360672, 0.3032119572162628, 0.5850294828414917, 1.0914517641067505]"
prior to a show one will see an increase in heart rate due to anxiety,1,prior show one see increase heart rate due anxiety,"[0.016831044107675552, 0.02234429493546486, 0.05357035622000694, 0.06111207604408264, 0.14637747406959534, 0.19783703982830048, 0.4987981617450714, 0.7352785468101501, 1.3835328817367554]"
eye contact may result in permanent damage and complete vision loss,1,eye contact may result permanent damage complete vision loss,"[0.0024832156486809254, 0.005611506290733814, 0.01121428795158863, 0.024345839396119118, 0.05542610213160515, 0.10533010959625244, 0.23854129016399384, 0.4208192229270935, 1.2746331691741943]"
blizzards and severe weather in sweden and poland led to several fatalities,1,blizzards severe weather sweden poland led several fatalities,"[0.020081765949726105, 0.02660222351551056, 0.06188695877790451, 0.0849820077419281, 0.14313675463199615, 0.2982413172721863, 0.46485385298728943, 1.2955114841461182]"
heart disease is a leading cause of sickness and death in anguilla,1,heart disease leading cause sickness death anguilla,"[0.023898612707853317, 0.06242988631129265, 0.06569309532642365, 0.07871240377426147, 0.21263323724269867, 0.4039333164691925, 0.7507190704345703]"
werner syndrome is caused by mutations in the wrn gene,1,werner syndrome caused mutations wrn gene,"[0.052127089351415634, 0.10167133063077927, 0.14621710777282715, 0.29104316234588623, 0.588170051574707, 0.9796802401542664]"
irritation due to scratching kp bumps can result in redness and inflammation,1,irritation due scratching kp bumps result redness inflammation,"[0.009077412076294422, 0.020790014415979385, 0.04765382036566734, 0.134966641664505, 0.1569017469882965, 0.4190533459186554, 0.5148199200630188, 1.1739602088928223]"
headache dizziness blurred vision nausea etc are symptoms associated with hypertension,1,headache dizziness blurred vision nausea etc symptoms associated hypertension,"[0.012168442830443382, 0.02332274056971073, 0.037446439266204834, 0.061967745423316956, 0.15772941708564758, 0.14102256298065186, 0.30365169048309326, 0.591035008430481, 0.9383146166801453]"
without so much as touching him the doctor told him that the pain was due to his weight,1,without much touching doctor told pain due weight,"[0.0200610663741827, 0.07866281270980835, 0.05381981283426285, 0.07130023092031479, 0.18409302830696106, 0.3471965193748474, 0.6600998640060425, 1.5726227760314941]"
yes vaginal dryness can cause painful sexual intercourse,1,yes vaginal dryness cause painful sexual intercourse,"[0.014247911982238293, 0.03283792361617088, 0.06058879196643829, 0.1346682608127594, 0.286337673664093, 0.8340604901313782, 1.7245450019836426]"
success in this stage leads to the virtue of purpose which is the normal balance between the two extremes,1,success stage leads virtue purpose normal balance two extremes,"[0.007794485427439213, 0.016446491703391075, 0.041334234178066254, 0.1362748146057129, 0.08224501460790634, 0.19755956530570984, 0.3813640773296356, 0.6094048619270325, 1.0284900665283203]"
some researchers believe sibo may lead to ibs,1,researchers believe sibo may lead ibs,"[0.09146159887313843, 0.24190497398376465, 0.18285903334617615, 0.3006989359855652, 0.5814763307571411, 1.6154875755310059]"
mutations in this gene may cause mitochondrial complex iii deficiency nuclear type 6,1,mutations gene may cause mitochondrial complex iii deficiency nuclear type 6,"[0.0024185345973819494, 0.0055764950811862946, 0.011344932951033115, 0.008724387735128403, 0.02304212376475334, 0.057408154010772705, 0.059870846569538116, 0.12071365118026733, 0.37190425395965576, 0.8202972412109375, 1.0261882543563843]"
cavities caused by mild tooth decay may need drilling to remove the decayed portion of the tooth followed by filling of the cavity,1,cavities caused mild tooth decay may need drilling remove decayed portion tooth followed filling cavity,"[0.00032881333027035, 0.0006739023956470191, 0.0013785206247121096, 0.29873913526535034, 0.003472777782008052, 0.0038427335675805807, 0.009095600806176662, 0.009977494366466999, 0.015558533370494843, 0.0422976016998291, 0.09541615098714828, 0.29873913526535034, 0.31034207344055176, 0.5557480454444885, 1.1060711145401]"
this is quite crucial because excessive weight is the root cause of many other health problems,1,quite crucial excessive weight root cause many health problems,"[0.005136583000421524, 0.011977988295257092, 0.0465240478515625, 0.06823114305734634, 0.08617764711380005, 0.1430206149816513, 0.3475223183631897, 0.6685628890991211, 1.6287615299224854]"
in the event the weather conditions is incredibly warm having said that then the elastic strap can result in pain,1,event weather conditions incredibly warm said elastic strap result pain,"[0.01073457021266222, 0.01893787458539009, 0.023548364639282227, 0.028240635991096497, 0.0635860413312912, 0.14182612299919128, 0.16615641117095947, 0.3575187623500824, 0.6547209620475769, 1.2124770879745483]"
poor preparation poor judgment and hubris can be a dangerous combination that can lead to pure misery injury or even death,1,poor preparation poor judgment hubris dangerous combination lead pure misery injury even death,"[0.006837325636297464, 0.001421807217411697, 0.006837325636297464, 0.0057168640196323395, 0.007456521037966013, 0.01594858430325985, 0.03777947649359703, 0.04946889728307724, 0.13169489800930023, 0.2063305377960205, 0.6500118970870972, 0.9829999208450317, 1.57582688331604]"
overweight and obesity can lead to high blood pressure which in turn can trigger stroke,1,overweight obesity lead high blood pressure turn trigger stroke,"[0.006895985919982195, 0.01316202525049448, 0.021247288212180138, 0.03635193780064583, 0.06589139997959137, 0.156768798828125, 0.2613612115383148, 0.7769588232040405, 1.2334184646606445]"
thus allergic rhinitis is nasal inflammation caused by allergens,1,thus allergic rhinitis nasal inflammation caused allergens,"[0.021672984585165977, 0.03360043466091156, 0.11449206620454788, 0.10424517095088959, 0.226484477519989, 0.4298810362815857, 1.235721230506897]"
there are also areas where the streams and rivers taking water away are nearing capacity and therefore heavy rains lead to localised flooding,1,also areas streams rivers taking water away nearing capacity therefore heavy rains lead localised flooding,"[0.0005048402235843241, 0.001288280007429421, 0.0013049503322690725, 0.0031334636732935905, 0.004679674282670021, 0.005180152133107185, 0.010716214776039124, 0.024216365069150925, 0.026137355715036392, 0.05541261285543442, 0.10890843719244003, 0.2308339774608612, 0.5477126836776733, 0.6462919116020203, 1.1484647989273071]"
in fact it is seen that lack of zinc may lead to acne,1,fact seen lack zinc may lead acne,"[0.04243346303701401, 0.08221203833818436, 0.15465356409549713, 0.358603835105896, 0.4688037037849426, 0.7705132961273193, 1.5245534181594849]"
their conclusion was that the knowledge and prejudice about side effects of beta blockers can produce anxiety that may cause erectile dysfunction,1,conclusion knowledge prejudice side effects beta blockers produce anxiety may cause erectile dysfunction,"[0.001456824946217239, 0.002090491121634841, 0.005333171226084232, 0.006594107020646334, 0.012365947477519512, 0.022639889270067215, 0.030664987862110138, 0.0470842570066452, 0.09277557581663132, 0.12497042864561081, 0.20142710208892822, 0.6187976598739624, 1.043089509010315]"
we read how disobedience quickly led to expulsion brother kills brother and things spin out of control,1,read disobedience quickly led expulsion brother kills brother things spin control,"[0.001199123915284872, 0.002825111383572221, 0.006575668230652809, 0.012951566837728024, 0.03496352583169937, 0.19472824037075043, 0.09296822547912598, 0.19472824037075043, 0.3210144340991974, 0.44588932394981384, 1.1255192756652832]"
adding to the confusion is the growing chant sunscreen causes cancer,1,adding confusion growing chant sunscreen causes cancer,"[0.06870905309915543, 0.09943055361509323, 0.20952357351779938, 0.5508242249488831, 0.3444429039955139, 0.547375500202179, 1.4603400230407715]"
stereotypes abound and may lead to low self esteem and depression,1,stereotypes abound may lead low self esteem depression,"[0.007214019075036049, 0.02028919756412506, 0.028122911229729652, 0.07185094058513641, 0.10219161957502365, 0.25198647379875183, 0.5431998372077942, 1.20883047580719]"
global warming is caused by the depletion of the ozone layer by the harmful gasses that are being discharge in huge quantity to the atmosphere,1,global warming caused depletion ozone layer harmful gasses discharge huge quantity atmosphere,"[0.0014381917426362634, 0.004082437139004469, 0.006344864144921303, 0.008029712364077568, 0.01569547690451145, 0.04023212939500809, 0.05438185855746269, 0.14618708193302155, 0.1713842898607254, 0.43455564975738525, 0.6667681932449341, 1.131125807762146]"
floods are generally caused by excessive rainfall excessive snowmelt and dam failure,1,floods generally caused excessive rainfall excessive snowmelt dam failure,"[0.011795327067375183, 0.015386045910418034, 0.029709691181778908, 0.23539675772190094, 0.08653402328491211, 0.23539675772190094, 0.34056809544563293, 0.5366829633712769, 1.7070262432098389]"
acute exposure to nmu in humans can result in skin and eye irritation headache nausea and vomiting,1,acute exposure nmu humans result skin eye irritation headache nausea vomiting,"[0.00901908241212368, 0.013478362932801247, 0.010962664149701595, 0.026394300162792206, 0.059453971683979034, 0.07790869474411011, 0.15743348002433777, 0.18902233242988586, 0.4122411012649536, 0.9639663100242615, 1.0490105152130127]"
in china lung disease associated with urban air pollution causes half a million deaths each year,1,china lung disease associated urban air pollution causes half million deaths year,"[0.001805818872526288, 0.0037604342214763165, 0.006767901126295328, 0.010099019855260849, 0.027057532221078873, 0.029330171644687653, 0.07083071768283844, 0.12492506206035614, 0.15254813432693481, 0.3068145215511322, 0.5790701508522034, 1.4362819194793701]"
additionally there were many car accidents in san juan due to slick roads,1,additionally many car accidents san juan due slick roads,"[0.010272830724716187, 0.01770918257534504, 0.03217929229140282, 0.06317773461341858, 0.09698300808668137, 0.2939831018447876, 0.5390352010726929, 0.7701605558395386, 1.1349505186080933]"
the damage caused by floods is often recounted in historical documentation,1,damage caused floods often recounted historical documentation,"[0.05100756138563156, 0.12186579406261444, 0.18959565460681915, 0.24805481731891632, 0.5273569822311401, 0.7671046853065491, 1.1699076890945435]"
in a recently recorded sermon on depression i talk about how often low thyroid function is a cause of depression,1,recently recorded sermon depression talk often low thyroid function cause depression,"[0.0027567108627408743, 0.011682471260428429, 0.013193026185035706, 1.2457635402679443, 0.02430049516260624, 0.03781751170754433, 0.07774974405765533, 0.18324068188667297, 0.3967461884021759, 0.35174456238746643, 1.2457635402679443]"
complications whether uterine polyps lead to infertility remains controversial,1,complications whether uterine polyps lead infertility remains controversial,"[0.04788755625486374, 0.13683879375457764, 0.13667917251586914, 0.23583154380321503, 0.17293702065944672, 0.3044526278972626, 0.6209295988082886, 1.0166105031967163]"
problems can also be caused by overwork stress accidents surgery drugs toxins poor food and bad posture,1,problems also caused overwork stress accidents surgery drugs toxins poor food bad posture,"[0.0025117052718997, 0.004916886333376169, 0.006442364305257797, 0.011433780193328857, 0.03404130041599274, 0.04049702733755112, 0.043941982090473175, 0.1873333752155304, 0.15081705152988434, 0.20980635285377502, 0.41307538747787476, 0.683868408203125, 1.142624020576477]"
this is because this drug may lead to heart failure pneumonia or sudden death if used by adults having dementia related problems,1,drug may lead heart failure pneumonia sudden death used adults dementia related problems,"[0.0009448750643059611, 0.0017380811041221023, 0.00341308512724936, 0.0048745544627308846, 0.010014521889388561, 0.021476443856954575, 0.031466998159885406, 0.09005536139011383, 0.08065246045589447, 0.166715607047081, 0.25897783041000366, 0.7306582927703857, 1.419800877571106]"
he had haemophilia which led to his death at the age of 30,1,haemophilia led death age 30,"[0.11562243103981018, 0.20458978414535522, 0.39033758640289307, 0.8751209378242493, 1.4764167070388794]"
nicotine dependence is also associated with depression anxiety and poor dieting mostly in young men,1,nicotine dependence also associated depression anxiety poor dieting mostly young men,"[0.0031088306568562984, 0.006435868330299854, 0.010650519281625748, 0.018271811306476593, 0.030218496918678284, 0.043894220143556595, 0.12274113297462463, 0.18693125247955322, 0.42097169160842896, 0.5297404527664185, 1.0514894723892212]"
measles causes a rash high fever cough runny nose and red eyes,1,measles causes rash high fever cough runny nose red eyes,"[0.004884448833763599, 0.010193711146712303, 0.04678322747349739, 0.04787607863545418, 0.06981697678565979, 0.07418261468410492, 0.11332584172487259, 0.3357388377189636, 0.5575151443481445, 1.4219626188278198]"
however a healthy diet when combined with pilates can lead to weight loss,1,however healthy diet combined pilates lead weight loss,"[0.015309197828173637, 0.021040799096226692, 0.03638027235865593, 0.06218089163303375, 0.15693974494934082, 0.3024125099182129, 0.43508827686309814, 1.2715134620666504]"
he says it is hardness of heart that creates conditions that can lead to divorce,1,says hardness heart creates conditions lead divorce,"[0.024698996916413307, 0.04822072386741638, 0.11699146032333374, 0.22946448624134064, 0.29069846868515015, 0.7634470462799072, 1.811436653137207]"
around 9 5 percent developed hepatitis b hbv which can also lead to liver infections and diseases,1,around 9 5 percent developed hepatitis b hbv also lead liver infections diseases,"[0.000731322099454701, 0.0009870828362181783, 0.0020051440224051476, 0.006917532067745924, 0.006655883975327015, 0.012618296779692173, 0.021536676213145256, 0.03928244113922119, 0.11344363540410995, 0.18815955519676208, 0.27386897802352905, 0.5485769510269165, 1.1465325355529785]"
high blood pressure can result to heart damage and stroke which can lead to paralysis and death,1,high blood pressure result heart damage stroke lead paralysis death,"[0.004224819131195545, 0.006397542543709278, 0.014549095183610916, 0.025148922577500343, 0.03590810298919678, 0.1094832494854927, 0.1436220407485962, 0.3125057816505432, 0.5989588499069214, 1.0984102487564087]"
people with aids often develop pneumonia which causes bad coughing and breathing problems,1,people aids often develop pneumonia causes bad coughing breathing problems,"[0.006798482500016689, 0.01278475672006607, 0.013281745836138725, 0.04428441822528839, 0.06767632812261581, 0.08241888135671616, 0.13885760307312012, 0.3425137400627136, 0.6298786401748657, 1.5290464162826538]"
emotional eating often leads to overeating especially if you ve been your favorite food refuses to lose weight,1,emotional eating often leads overeating especially favorite food refuses lose weight,"[0.002879907377064228, 0.0035341985058039427, 0.007425582967698574, 0.011547259986400604, 0.02736721932888031, 0.043123748153448105, 0.11687939614057541, 0.15689034759998322, 0.24246957898139954, 0.542519211769104, 1.3772751092910767]"
for some women the bloating cramping and fatigue caused by menstruation can make sex undesirable,1,women bloating cramping fatigue caused menstruation make sex undesirable,"[0.009042277932167053, 0.01479762326925993, 0.029567738994956017, 0.07620706409215927, 0.12813550233840942, 0.21140572428703308, 0.4236575663089752, 0.7138227224349976, 1.4916197061538696]"
poor lung function and poor nutrition may cause muscle weakness abnormalities in fluid and electrolyte balance and depression,1,poor lung function poor nutrition may cause muscle weakness abnormalities fluid electrolyte balance depression,"[0.005727062001824379, 0.0009837681427598, 0.0034870386589318514, 0.005727062001824379, 0.00845266692340374, 0.013694334775209427, 0.02130921557545662, 0.08013614267110825, 0.07729364931583405, 0.1430792659521103, 0.5283722281455994, 0.5954940319061279, 0.7807635068893433, 1.331287145614624]"
transient hemiparesis caused by phenytoin toxicity,1,transient hemiparesis caused phenytoin toxicity,"[0.0785314217209816, 0.21767883002758026, 0.34930700063705444, 0.5352495312690735, 1.6225268840789795]"
a deficiency of this vitamin causes scurvy tooth decay bleeding gums anemia and premature ageing,1,deficiency vitamin causes scurvy tooth decay bleeding gums anemia premature ageing,"[0.0027857760433107615, 0.003231168957427144, 0.011161291040480137, 0.016302142292261124, 0.04721864312887192, 0.07612314075231552, 0.08575434237718582, 0.15178394317626953, 0.32942700386047363, 0.6152358651161194, 1.4190208911895752]"
the chemicals that were released by the planes mixed with the pollution and ozone layers caused a chemical reaction,1,chemicals released planes mixed pollution ozone layers caused chemical reaction,"[0.0050633614882826805, 0.01121444720774889, 0.00838600005954504, 0.016419243067502975, 0.06134392321109772, 0.07544407993555069, 0.1356433629989624, 0.19891875982284546, 0.58637535572052, 1.4212263822555542]"
the absence of leptin or its receptor leads to uncontrolled hunger and resulting obesity,1,absence leptin receptor leads uncontrolled hunger resulting obesity,"[0.01464618556201458, 0.026880286633968353, 0.06674119085073471, 0.06554348766803741, 0.16945724189281464, 0.31560030579566956, 0.530670702457428, 1.5406074523925781]"
and the root cause of all our unhappiness is desire,1,root cause unhappiness desire,"[0.07941728830337524, 0.2094050645828247, 0.7809485197067261, 0.9741038084030151]"
